Year,H.S Code,Commodity Description,Country,Value (S.R),Weight (kg)
2017,8041021,STORED DATES,ALBANIA,346998.0,"110,000"
2017,8041021,STORED DATES,BAHRAIN,7656319.0,"1,887,238"
2017,8041021,STORED DATES,BOSNIA & HERZEGOVINA,222000.0,"35,435"
2017,8041021,STORED DATES,CZECH REPUBLIC,24238.0,"3,489"
2017,8041021,STORED DATES,ALGERIA,1141200.0,"206,712"
2017,8041021,STORED DATES,REPUBLIC OF YEMEN,45197083.0,"22,643,464"
2017,8041021,STORED DATES,DENMARK,84373.0,"31,961"
2017,8041021,STORED DATES,SENEGAL,203645.0,"77,756"
2017,8041021,STORED DATES,SUDAN,850962.0,"244,388"
2017,8041021,STORED DATES,SWEDEN,996092.0,"234,738"
2017,8041021,STORED DATES,CHINA,3073897.0,"1,375,345"
2017,8041021,STORED DATES,PHILIPPINES,189400.0,"32,504"
2017,8041021,STORED DATES,CAMEROON,688999.0,"130,000"
2017,8041021,STORED DATES,KUWAIT,29073455.0,"5,602,285"
2017,8041021,STORED DATES,GERMANY,3239377.0,"386,439"
2017,8041021,STORED DATES,HUNGARY,2800.0,461
2017,8041021,STORED DATES,MOROCCO,20524076.0,"2,665,218"
2017,8041021,STORED DATES,UNITED KINGDOM,12393594.0,"1,252,989"
2017,8041021,STORED DATES,NORWAY,202792.0,"25,737"
2017,8041021,STORED DATES,AUSTRIA,8000.0,"1,560"
2017,8041021,STORED DATES,NIGER,84000.0,"38,000"
2017,8041021,STORED DATES,INDIA,12952157.0,"2,413,078"
2017,8041021,STORED DATES,U.S.A,8774194.0,"741,982"
2017,8041021,STORED DATES,JAPAN,10400.0,504
2017,8041021,STORED DATES,INDONESIA,2085654.0,"375,784"
2017,8041021,STORED DATES,ITALY,5000.0,"2,000"
2017,8041021,STORED DATES,PAKISTAN,6028447.0,"1,267,275"
2017,8041021,STORED DATES,BRUNEI DARUSSALAM,3607400.0,"191,199"
2017,8041021,STORED DATES,BELGIUM,1026696.0,"159,715"
2017,8041021,STORED DATES,BANGLADESH,3826047.0,"760,930"
2017,8041021,STORED DATES,BENIN,423998.0,"80,000"
2017,8041021,STORED DATES,THAILAND,290625.0,"45,000"
2017,8041021,STORED DATES,TURKMENISTAN,40000.0,"3,000"
2017,8041021,STORED DATES,TURKEY,5844077.0,"956,087"
2017,8041021,STORED DATES,CHAD,404000.0,"77,664"
2017,8041021,STORED DATES,TANZANIA,1286804.0,"289,920"
2017,8041021,STORED DATES,TUNISIA,50800.0,"4,608"
2017,8041021,STORED DATES,GAMBIA,538996.0,"102,100"
2017,8041021,STORED DATES,COMOROS,345526.0,"67,000"
2017,8041021,STORED DATES,MALDIVES,264998.0,"50,000"
2017,8041021,STORED DATES,SOMALIA,20379545.0,"2,140,200"
2017,8041021,STORED DATES,"CONGO, THE DEMOCRATIC REPUBLIC",55000.0,"22,000"
2017,8041021,STORED DATES,SOUTH AFRICA,2978886.0,"166,907"
2017,8041021,STORED DATES,DJIBOUTI,1790950.0,"429,454"
2017,8041021,STORED DATES,RUSSIAN FEDERATION,2695516.0,"329,511"
2017,8041021,STORED DATES,ZIMBABWE,2100.0,"7,555"
2017,8041021,STORED DATES,COTE D'IVOIRE,50000.0,"25,000"
2017,8041021,STORED DATES,SAO TOME AND PRINCIPE,254400.0,"48,000"
2017,8041021,STORED DATES,SULTANATE OF OMAN,5818770.0,"1,075,007"
2017,8041021,STORED DATES,SLOVAKIA,1000.0,356
2017,8041021,STORED DATES,SINGAPORE,533918.0,"20,481"
2017,8041021,STORED DATES,SWITZERLAND,214896.0,"25,219"
2017,8041021,STORED DATES,SRI LANKA,285975.0,"44,626"
2017,8041021,STORED DATES,GHANA,146005.0,"39,264"
2017,8041021,STORED DATES,GUINEA,88900.0,"36,965"
2017,8041021,STORED DATES,FRANCE,1374372.0,"188,715"
