Year,H.S Code,Commodity Description AR,Commodity Description EN,Country AR ,Country EN ,Value (S.R),Weight (kg)
2018,8041029,غيرها من تمور,OTHER DATES,مـصـر,EGYPT,"509,590","363,811"
2018,8041029,غيرها من تمور,OTHER DATES,مولدافيا,MOLDOVA,"16,802",225
2018,8041029,غيرها من تمور,OTHER DATES,نيجيريا,NIGERIA,"2,738","1,800"
2018,8041029,غيرها من تمور,OTHER DATES,هولندا,NETHERLANDS,"285,722","18,890"
2018,8041029,غيرها من تمور,OTHER DATES,هونج كونج,HONG KONG,"17,888",687
2019,8041010,تمر طازج,FRESH DATES,أوزباكستان,UZBEKISTAN,"41,250","22,000"
2019,8041010,تمر طازج,FRESH DATES,اثيوبيا,ETHIOPIA,"2,687,438","1,921,000"
2019,8041010,تمر طازج,FRESH DATES,اذربيجان,AZERBAIJAN,"430,584","16,508"
2019,8041010,تمر طازج,FRESH DATES,اسبانيا,SPAIN,"335,144","85,732"
2019,8041010,تمر طازج,FRESH DATES,استراليا,AUSTRALIA,"1,591,027","116,250"
2019,8041010,تمر طازج,FRESH DATES,افغانسـتان,AFGHANISTAN,"795,000","150,000"
2019,8041010,تمر طازج,FRESH DATES,الاردن,JORDAN,"10,541,119","1,633,290"
2019,8041010,تمر طازج,FRESH DATES,الامارات العربية المتحدة,UNITED ARAB EMIRATES,"7,366,789","1,108,827"
2019,8041010,تمر طازج,FRESH DATES,البانيا,ALBANIA,"125,284","46,501"
2019,8041010,تمر طازج,FRESH DATES,البحرين,BAHRAIN,"87,095","36,012"
2019,8041010,تمر طازج,FRESH DATES,البرازيل,BRAZIL,"43,911","11,750"
2019,8041010,تمر طازج,FRESH DATES,البوسنة والهرسك,BOSNIA & HERZEGOVINA,"23,622","26,760"
2019,8041010,تمر طازج,FRESH DATES,الجمهورية اليمنية,REPUBLIC OF YEMEN,"316,779","116,011"
2019,8041010,تمر طازج,FRESH DATES,السـنغال,SENEGAL,"207,699","123,072"
2019,8041010,تمر طازج,FRESH DATES,السـودان,SUDAN,"12,654,019","936,963"
2019,8041010,تمر طازج,FRESH DATES,السويد,SWEDEN,"1,137,601","164,992"
2019,8041010,تمر طازج,FRESH DATES,الصـين,CHINA,"7,239,193","2,302,470"
2019,8041010,تمر طازج,FRESH DATES,الـفـلبين,PHILIPPINES,"438,038","84,600"
2019,8041010,تمر طازج,FRESH DATES,الكميرون,CAMEROON,"530,000","100,000"
2019,8041010,تمر طازج,FRESH DATES,الكويت,KUWAIT,"5,911,179","1,592,587"
2019,8041010,تمر طازج,FRESH DATES,المانيا,GERMANY,"1,599,364","259,721"
2019,8041010,تمر طازج,FRESH DATES,المغرب,MOROCCO,"14,496,516","1,513,001"
2019,8041010,تمر طازج,FRESH DATES,المكسيك,MEXICO,"93,000","12,000"
2019,8041010,تمر طازج,FRESH DATES,المملكة المتحدة,UNITED KINGDOM,"14,467,656","1,525,248"
2019,8041010,تمر طازج,FRESH DATES,النرويج,NORWAY,"308,318","63,619"
2019,8041010,تمر طازج,FRESH DATES,النيجر,NIGER,"1,071,250","304,050"
2019,8041010,تمر طازج,FRESH DATES,الـهـنـد,INDIA,"18,725,699","4,163,442"
2019,8041010,تمر طازج,FRESH DATES,الولايات المتحدة الامريكية,U.S.A,"4,884,527","321,481"
2019,8041010,تمر طازج,FRESH DATES,الـيـابـان,JAPAN,"376,229","13,910"
2019,8041010,تمر طازج,FRESH DATES,انـدونيسـيا,INDONESIA,"12,617,580","2,300,551"
2019,8041010,تمر طازج,FRESH DATES,ايطاليا,ITALY,"132,658","23,099"
2019,8041010,تمر طازج,FRESH DATES,باكسـتان,PAKISTAN,"2,498,807","494,476"
2019,8041010,تمر طازج,FRESH DATES,بروناي دار السلام,BRUNEI DARUSSALAM,"2,887,600","136,165"
2019,8041010,تمر طازج,FRESH DATES,بلجيكا,BELGIUM,"738,182","110,904"
2019,8041010,تمر طازج,FRESH DATES,بنجـلادش,BANGLADESH,"2,432,290","984,710"
2019,8041010,تمر طازج,FRESH DATES,بنما,PANAMA,"1,567",100
2019,8041010,تمر طازج,FRESH DATES,بنين (داهومي),BENIN,"750,000","50,000"
2019,8041010,تمر طازج,FRESH DATES,بيرو,PERU,"40,000","6,200"
2019,8041010,تمر طازج,FRESH DATES,تـايلند,THAILAND,"88,078","36,750"
2019,8041010,تمر طازج,FRESH DATES,تركيا,TURKEY,"48,556,182","10,453,590"
2019,8041010,تمر طازج,FRESH DATES,تشـاد,CHAD,"513,438","105,800"
2019,8041010,تمر طازج,FRESH DATES,تنزانيا,TANZANIA,"1,216,322","263,203"
2019,8041010,تمر طازج,FRESH DATES,توجو,TOGO,"3,000","4,000"
2019,8041010,تمر طازج,FRESH DATES,جامبيا,GAMBIA,"231,987","102,600"
2019,8041010,تمر طازج,FRESH DATES,جزر القمر,COMOROS,"81,083","17,520"
2019,8041010,تمر طازج,FRESH DATES,جزر المالديف,MALDIVES,"557,063","60,523"
2019,8041010,تمر طازج,FRESH DATES,جمهورية الصومال,SOMALIA,"900,507","229,104"
2019,8041010,تمر طازج,FRESH DATES,جمهورية كونجو الديمقراطية (زائير),"CONGO, THE DEMOCRATIC REPUBLIC","3,200","3,000"
2019,8041010,تمر طازج,FRESH DATES,جنوب افريقيا,SOUTH AFRICA,"3,688,273","328,740"
2019,8041010,تمر طازج,FRESH DATES,جورجيا,GEORGIA,"630,224","33,704"
2019,8041010,تمر طازج,FRESH DATES,جيبوتي,DJIBOUTI,"1,772,347","571,024"
2019,8041010,تمر طازج,FRESH DATES,روسيا الاتحادية,RUSSIAN FEDERATION,"2,642,341","294,986"
2019,8041010,تمر طازج,FRESH DATES,رومانيا,ROMANIA,"93,161","18,928"
2019,8041010,تمر طازج,FRESH DATES,ساو تومي وبرينسيبي,SAO TOME AND PRINCIPE,"268,200","52,000"
2019,8041010,تمر طازج,FRESH DATES,سـلطنة عمان,SULTANATE OF OMAN,"737,478","159,367"
2019,8041010,تمر طازج,FRESH DATES,سـنغافورة,SINGAPORE,"3,160,165","170,160"
2019,8041010,تمر طازج,FRESH DATES,سوازى لاند,SWAZILAND,"179,839","12,736"
2019,8041010,تمر طازج,FRESH DATES,سـويسـرا,SWITZERLAND,"691,632","67,829"
2019,8041010,تمر طازج,FRESH DATES,سـيريلنكا,SRI LANKA,"1,214,404","322,210"
2019,8041010,تمر طازج,FRESH DATES,طاجاكستان,TAJIKISTAN,"325,435","70,400"
2019,8041010,تمر طازج,FRESH DATES,غانا,GHANA,"270,000","54,000"
2019,8041010,تمر طازج,FRESH DATES,غينيا,GUINEA,"7,200","4,500"
2019,8041010,تمر طازج,FRESH DATES,فرنسا,FRANCE,"1,974,441","251,626"
2019,8041010,تمر طازج,FRESH DATES,كندا,CANADA,"2,940,431","309,054"
2019,8041010,تمر طازج,FRESH DATES,كوبا,CUBA,"16,250","2,580"
2019,8041010,تمر طازج,FRESH DATES,كونجو,CONGO,"6,825","2,344"
2019,8041010,تمر طازج,FRESH DATES,كينيا,KENYA,"657,036","215,500"
2019,8041010,تمر طازج,FRESH DATES,لبنان,LEBANON,"19,093,116","2,066,959"
2019,8041010,تمر طازج,FRESH DATES,ليبيا,LIBYA,"358,823","23,867"
2019,8041010,تمر طازج,FRESH DATES,ليسوتو,LESOTHO,"146,250","24,375"
2019,8041010,تمر طازج,FRESH DATES,مـاليزيا,MALAYSIA,"7,632,762","709,980"
2019,8041010,تمر طازج,FRESH DATES,مـصـر,EGYPT,"9,465,334","1,940,498"
2019,8041010,تمر طازج,FRESH DATES,موريتانيا,MAURITANIA,"986,035","245,941"
2019,8041010,تمر طازج,FRESH DATES,موريشس,MAURITIUS,"185,757","12,419"
2019,8041010,تمر طازج,FRESH DATES,موزمبيق,MOZAMBIQUE,"1,000","2,000"
2019,8041010,تمر طازج,FRESH DATES,نيثرلاندز انتيليز,NETHERLANDS ANTILLES,"70,980","21,350"
2019,8041010,تمر طازج,FRESH DATES,نيجيريا,NIGERIA,"120,000","29,750"
2019,8041010,تمر طازج,FRESH DATES,نيوزلندا,NEW ZEALAND,"78,469","22,500"
2019,8041010,تمر طازج,FRESH DATES,هولندا,NETHERLANDS,"3,426,583","528,072"
2019,8041010,تمر طازج,FRESH DATES,هونج كونج,HONG KONG,"98,347","3,300"
2019,8041021,تمر مكنوز,STORED DATES,أوزباكستان,UZBEKISTAN,"5,476",540
2019,8041021,تمر مكنوز,STORED DATES,اثيوبيا,ETHIOPIA,"2,221,908","497,950"
2019,8041021,تمر مكنوز,STORED DATES,اذربيجان,AZERBAIJAN,"1,945",260
2019,8041021,تمر مكنوز,STORED DATES,اريتيريا,ERITREA,"3,166",250
2019,8041021,تمر مكنوز,STORED DATES,اسبانيا,SPAIN,"2,658",250
2019,8041021,تمر مكنوز,STORED DATES,استراليا,AUSTRALIA,"1,622,610","137,985"
2019,8041021,تمر مكنوز,STORED DATES,افغانسـتان,AFGHANISTAN,"3,209",350
2019,8041021,تمر مكنوز,STORED DATES,الاردن,JORDAN,"6,515,732","1,033,940"
2019,8041021,تمر مكنوز,STORED DATES,الامارات العربية المتحدة,UNITED ARAB EMIRATES,"168,149,906","26,130,740"
2019,8041021,تمر مكنوز,STORED DATES,البانيا,ALBANIA,"357,075","79,900"
2019,8041021,تمر مكنوز,STORED DATES,البحرين,BAHRAIN,"9,074,778","2,324,722"
2019,8041021,تمر مكنوز,STORED DATES,البرازيل,BRAZIL,"3,008",240
2019,8041021,تمر مكنوز,STORED DATES,البرتغال,PORTUGAL,"1,940",250
2019,8041021,تمر مكنوز,STORED DATES,البوسنة والهرسك,BOSNIA & HERZEGOVINA,"241,954","32,280"
2019,8041021,تمر مكنوز,STORED DATES,الجزائر,ALGERIA,"1,858,735","350,390"
2019,8041021,تمر مكنوز,STORED DATES,الجمهورية اليمنية,REPUBLIC OF YEMEN,"91,057,208","45,139,957"
2019,8041021,تمر مكنوز,STORED DATES,السـنغال,SENEGAL,"356,881","66,782"
2019,8041021,تمر مكنوز,STORED DATES,السـودان,SUDAN,"1,374,928","473,220"
2019,8041021,تمر مكنوز,STORED DATES,الصـين,CHINA,"74,264","2,308"
2019,8041021,تمر مكنوز,STORED DATES,العراق,IRAQ,"8,395",600
2019,8041021,تمر مكنوز,STORED DATES,الـفـلبين,PHILIPPINES,"3,190",300
2019,8041021,تمر مكنوز,STORED DATES,الكويت,KUWAIT,"13,976,993","3,457,914"
2019,8041021,تمر مكنوز,STORED DATES,المانيا,GERMANY,"1,364,738","112,947"
2019,8041021,تمر مكنوز,STORED DATES,المغرب,MOROCCO,"10,939,347","1,050,122"
2019,8041021,تمر مكنوز,STORED DATES,المملكة المتحدة,UNITED KINGDOM,"1,903,690","304,419"
2019,8041021,تمر مكنوز,STORED DATES,النرويج,NORWAY,"112,361","7,180"
2019,8041021,تمر مكنوز,STORED DATES,النمسـا,AUSTRIA,"75,888",270
2019,8041021,تمر مكنوز,STORED DATES,النيجر,NIGER,"629,000","152,800"
2019,8041021,تمر مكنوز,STORED DATES,الـهـنـد,INDIA,"1,106,062","303,024"
2019,8041021,تمر مكنوز,STORED DATES,الولايات المتحدة الامريكية,U.S.A,"4,670,999","460,065"
2019,8041021,تمر مكنوز,STORED DATES,الـيـابـان,JAPAN,"193,725","7,572"
2019,8041021,تمر مكنوز,STORED DATES,اليونان,GREECE,"3,148",230
2019,8041021,تمر مكنوز,STORED DATES,انـدونيسـيا,INDONESIA,"2,535,334","758,068"
2019,8041021,تمر مكنوز,STORED DATES,اوكرانيا,UKRAINE,"5,285",400
2019,8041021,تمر مكنوز,STORED DATES,ايطاليا,ITALY,"2,641",230
2019,8041021,تمر مكنوز,STORED DATES,باكسـتان,PAKISTAN,"463,043","83,103"
2019,8041021,تمر مكنوز,STORED DATES,بلجيكا,BELGIUM,"430,870","69,339"
2019,8041021,تمر مكنوز,STORED DATES,بلغاريا,BULGARIA,"3,168",240
2019,8041021,تمر مكنوز,STORED DATES,بنجـلادش,BANGLADESH,"1,911,354","375,840"
2019,8041021,تمر مكنوز,STORED DATES,بنين (داهومي),BENIN,"599,650","117,000"
2019,8041021,تمر مكنوز,STORED DATES,بولندا,POLAND,"2,659",260
2019,8041021,تمر مكنوز,STORED DATES,تـايلند,THAILAND,"395,000","57,000"
2019,8041021,تمر مكنوز,STORED DATES,تايوان,TAIWAN,"69,084","2,250"
2019,8041021,تمر مكنوز,STORED DATES,تركيا,TURKEY,"1,494,680","309,687"
2019,8041021,تمر مكنوز,STORED DATES,تشـاد,CHAD,"1,955",250
2019,8041021,تمر مكنوز,STORED DATES,تنزانيا,TANZANIA,"584,263","136,300"
2019,8041021,تمر مكنوز,STORED DATES,توجو,TOGO,"40,000","20,000"
2019,8041021,تمر مكنوز,STORED DATES,تونس,TUNISIA,"4,841",580
2019,8041021,تمر مكنوز,STORED DATES,جامبيا,GAMBIA,"345,325","70,540"
2019,8041021,تمر مكنوز,STORED DATES,جزر القمر,COMOROS,"265,000","50,000"
2019,8041021,تمر مكنوز,STORED DATES,جزر المالديف,MALDIVES,"3,182",300
2019,8041021,تمر مكنوز,STORED DATES,جمهورية الصومال,SOMALIA,"20,470,650","7,128,148"
2019,8041021,تمر مكنوز,STORED DATES,جنوب افريقيا,SOUTH AFRICA,"10,234","2,260"
2019,8041021,تمر مكنوز,STORED DATES,جيبوتي,DJIBOUTI,"2,040,245","556,850"
2019,8041021,تمر مكنوز,STORED DATES,روسيا الاتحادية,RUSSIAN FEDERATION,"428,895","78,430"
2019,8041021,تمر مكنوز,STORED DATES,رومانيا,ROMANIA,"3,169",270
2019,8041021,تمر مكنوز,STORED DATES,زامبيا,ZAMBIA,"549,250","122,000"
2019,8041021,تمر مكنوز,STORED DATES,ساحل العاج (كوت دي فوار),COTE D'IVOIRE,"2,000","6,000"
2019,8041021,تمر مكنوز,STORED DATES,سـلطنة عمان,SULTANATE OF OMAN,"26,837,217","3,990,806"
